Local time,open,high,low,close,volume
10.11.2003 00:00:00.000 GMT+0200,1.15034,1.15352,1.14627,1.14797,1104117.295
11.11.2003 00:00:00.000 GMT+0200,1.14798,1.15304,1.14431,1.152,1123200.307
12.11.2003 00:00:00.000 GMT+0200,1.1521,1.16599,1.1503,1.16284,1123858.098
13.11.2003 00:00:00.000 GMT+0200,1.16328,1.1738,1.16251,1.17322,1122723.096
14.11.2003 00:00:00.000 GMT+0200,1.17325,1.1802,1.17271,1.17758,1127722.705
17.11.2003 00:00:00.000 GMT+0200,1.17764,1.18485,1.17245,1.17471,1120315.899
18.11.2003 00:00:00.000 GMT+0200,1.17479,1.19738,1.17327,1.1971,1130790.494
19.11.2003 00:00:00.000 GMT+0200,1.19696,1.19772,1.18733,1.18758,1120436.799
20.11.2003 00:00:00.000 GMT+0200,1.1875,1.19556,1.18711,1.19111,1142479.301
21.11.2003 00:00:00.000 GMT+0200,1.19127,1.19379,1.18567,1.19152,1116755.4
24.11.2003 00:00:00.000 GMT+0200,1.19084,1.19177,1.17565,1.177,1103750.613
25.11.2003 00:00:00.000 GMT+0200,1.17718,1.18185,1.17519,1.17899,1120140.399
26.11.2003 00:00:00.000 GMT+0200,1.17902,1.19475,1.17686,1.194,1116830.393
27.11.2003 00:00:00.000 GMT+0200,1.19392,1.19411,1.18831,1.19071,1125314.385
28.11.2003 00:00:00.000 GMT+0200,1.19068,1.20145,1.18972,1.19928,1128260.902
01.12.2003 00:00:00.000 GMT+0200,1.19717,1.20403,1.19364,1.19805,1118367.293
02.12.2003 00:00:00.000 GMT+0200,1.1982,1.20913,1.19407,1.20811,1123872.305
03.12.2003 00:00:00.000 GMT+0200,1.20793,1.21268,1.20693,1.21077,1119023.303
04.12.2003 00:00:00.000 GMT+0200,1.2109,1.21553,1.2029,1.20855,1120184.488
05.12.2003 00:00:00.000 GMT+0200,1.20821,1.21781,1.20616,1.2166,1124115.203
08.12.2003 00:00:00.000 GMT+0200,1.21725,1.22389,1.21476,1.2218,1115506.902
09.12.2003 00:00:00.000 GMT+0200,1.22173,1.22745,1.21869,1.22543,1113202.486
10.12.2003 00:00:00.000 GMT+0200,1.22576,1.22649,1.21523,1.22145,1114963.506
11.12.2003 00:00:00.000 GMT+0200,1.22151,1.22331,1.21123,1.22187,1117878.998
12.12.2003 00:00:00.000 GMT+0200,1.22213,1.23063,1.22071,1.22756,1121114.695
15.12.2003 00:00:00.000 GMT+0200,1.21419,1.23226,1.21288,1.23173,1123996.895
16.12.2003 00:00:00.000 GMT+0200,1.23168,1.23594,1.23,1.23302,1123744.709
17.12.2003 00:00:00.000 GMT+0200,1.23291,1.24208,1.22948,1.24107,1123980.797
18.12.2003 00:00:00.000 GMT+0200,1.24091,1.24382,1.23587,1.24231,1113234.416
19.12.2003 00:00:00.000 GMT+0200,1.2422,1.24346,1.2343,1.23739,1110973.498
22.12.2003 00:00:00.000 GMT+0200,1.24025,1.24459,1.23479,1.23956,1116565.992
23.12.2003 00:00:00.000 GMT+0200,1.23948,1.2425,1.23823,1.23927,1109616.889
24.12.2003 00:00:00.000 GMT+0200,1.23943,1.24702,1.23924,1.2446,1099927.498
25.12.2003 00:00:00.000 GMT+0200,1.24448,1.2462,1.24342,1.2452,757108.5
26.12.2003 00:00:00.000 GMT+0200,1.24499,1.24693,1.24208,1.24272,1082480.088
29.12.2003 00:00:00.000 GMT+0200,1.24258,1.25078,1.24221,1.24892,1119620.195
30.12.2003 00:00:00.000 GMT+0200,1.249,1.25613,1.24758,1.25492,1120718.803
31.12.2003 00:00:00.000 GMT+0200,1.25495,1.2646,1.25132,1.25925,1101745.502
01.01.2004 00:00:00.000 GMT+0200,1.25931,1.26052,1.24698,1.25454,423555.7995
02.01.2004 00:00:00.000 GMT+0200,1.25436,1.26282,1.25214,1.25832,1114731.602
05.01.2004 00:00:00.000 GMT+0200,1.25832,1.26935,1.25795,1.26753,1117097.5
06.01.2004 00:00:00.000 GMT+0200,1.26736,1.28093,1.26666,1.27256,1123617
07.01.2004 00:00:00.000 GMT+0200,1.27244,1.27417,1.2623,1.26322,1112493.398
08.01.2004 00:00:00.000 GMT+0200,1.26306,1.27796,1.2559,1.27661,1113789.498
09.01.2004 00:00:00.000 GMT+0200,1.27653,1.28676,1.27034,1.28149,1120310.293
12.01.2004 00:00:00.000 GMT+0200,1.28538,1.28971,1.27342,1.27493,1108321.699
13.01.2004 00:00:00.000 GMT+0200,1.27473,1.27957,1.27119,1.27714,1114197.404
14.01.2004 00:00:00.000 GMT+0200,1.27736,1.27878,1.26296,1.26473,1123340.805
15.01.2004 00:00:00.000 GMT+0200,1.26456,1.26707,1.25614,1.25766,1127465.793
16.01.2004 00:00:00.000 GMT+0200,1.25753,1.26091,1.23504,1.23962,1124796.594
19.01.2004 00:00:00.000 GMT+0200,1.23676,1.2423,1.23337,1.23478,1132318.106
20.01.2004 00:00:00.000 GMT+0200,1.23496,1.25952,1.23426,1.25787,1123536.988
21.01.2004 00:00:00.000 GMT+0200,1.25786,1.2671,1.25504,1.26425,1132347.104
22.01.2004 00:00:00.000 GMT+0200,1.26405,1.27485,1.26346,1.27183,1129054.795
23.01.2004 00:00:00.000 GMT+0200,1.27164,1.27742,1.25631,1.25797,1130601.805
26.01.2004 00:00:00.000 GMT+0200,1.25742,1.26107,1.24567,1.24575,1123888.201
27.01.2004 00:00:00.000 GMT+0200,1.24604,1.26517,1.24403,1.2643,1082479.795
28.01.2004 00:00:00.000 GMT+0200,1.26445,1.26618,1.24628,1.24681,1137246.601
29.01.2004 00:00:00.000 GMT+0200,1.24681,1.25265,1.23617,1.24072,1108579.603
30.01.2004 00:00:00.000 GMT+0200,1.24062,1.24911,1.23506,1.24747,1128529.107
02.02.2004 00:00:00.000 GMT+0200,1.24696,1.24858,1.23897,1.24237,1128944.6
03.02.2004 00:00:00.000 GMT+0200,1.24248,1.25973,1.24139,1.25407,1130994.396
04.02.2004 00:00:00.000 GMT+0200,1.25423,1.25609,1.24929,1.25327,1134170.301
05.02.2004 00:00:00.000 GMT+0200,1.25345,1.26364,1.25177,1.2546,1118230.199
06.02.2004 00:00:00.000 GMT+0200,1.25471,1.27243,1.25118,1.27026,1127776.412
09.02.2004 00:00:00.000 GMT+0200,1.26054,1.27599,1.2598,1.26955,1140175.898
10.02.2004 00:00:00.000 GMT+0200,1.2697,1.27863,1.26664,1.26689,1122476.596
11.02.2004 00:00:00.000 GMT+0200,1.26698,1.28374,1.26496,1.28321,1125278.1
